"Never forget me, because if I thought you would, I'd never leave.",A. A. Milne,Me Thought Never Forget 
"My spelling is Wobbly. It's good spelling but it Wobbles, and the letters get in the wrong places.",A. A. Milne,Good Places Wrong 
"I am sure of this: that no one can write a book which children will like unless he write it for himself first.",A. A. Milne,Children I Am Book 
"Tiggers don't like honey.",A. A. Milne,Honey Like 
"Don't underestimate the value of doing nothing, of just going along, listening to all the thing you can't hear, and not bothering.",A. A. Milne,Value Listening You 
"You will be better advised to watch what we do instead of what we say.",A. A. Milne,Better You Say 
"War is something of man's own fostering, and if all mankind renounces it, then it is no longer there.",A. A. Milne,War Man Mankind 
"Golf is so popular simply because it is the best game in the world at which to be bad.",A. A. Milne,Best Golf World 
"A writer wants something more than money for his work: he wants permanence.",A. A. Milne,Work Money Writer 
"Bores can be divided into two classes; those who have their own particular subject, and those who do not need a subject.",A. A. Milne,Divided Two Need 
"No sensible author wants anything but praise.",A. A. Milne,Praise Anything Wants 

"Is 'The Wind in the Willows' a children's book? Is 'Alice in Wonderland?' Is 'Treasure Island?' These are masterpieces which we read with pleasure as children, but with how much more pleasure when we are grown-up.",A. A. Milne,Children Book Wind 
"The Old Testament is responsible for more atheism, agnosticism, disbelief - call it what you will - than any book ever written. It has emptied more churches than all the counter-attractions of cinema, motor-bicycle and golf course.",A. A. Milne,Golf Book You 
"I gave up writing children's books. I wanted to escape from them as I had once wanted to escape from 'Punch': as I have always wanted to escape. In vain.",A. A. Milne,Children Writing Escape 
"Almost anyone can be an author; the business is to collect money and fame from this state of being.",A. A. Milne,Business Money Fame 

"The true Tarot is symbolism; it speaks no other language and offers no other signs.",A. E. Waite,Language True Symbolism 
"We have now seen that there is no particle of evidence for the Egyptian origin of Tarot cards.",A. E. Waite,Cards Now Evidence 
"Behind the man is the Tree of Life, bearing twelve fruits, and the Tree of the Knowledge of Good and Evil is behind the woman; the serpent is twining round it.",A. E. Waite,Life Knowledge Good 
"The Empress has been connected with the ideas of universal fecundity and in a general sense with activity.",A. E. Waite,Ideas Connected Activity 
"If in any divination the Tenth Card should be a Court Card, it shews that the subject of the divination falls ultimately into the hands of a person represented by that card, and its end depends mainly on him.",A. E. Waite,End Hands Person 
"It will be thought that I am acting strangely in concerning myself at this day with what appears at first sight and simply a well-known method of fortune-telling.",A. E. Waite,Myself Day I Am 
"Now, occultism is not like mystic faculty, and it very seldom works in harmony either with business aptitude in the things of ordinary life or with a knowledge of the canons of evidence in its own sphere.",A. E. Waite,Life Business Knowledge 

